,cluster1,cluster2,cluster3
1564,20.0,7.0,11.0
1573,28.0,14.0,15.0
1575,36.0,24.0,29.0
1600,36.0,22.0,28.0
1602,33.0,16.0,22.0
1608,33.0,15.0,21.0
1610,29.0,14.0,22.0
1611,29.0,15.0,19.0
1614,31.0,14.0,24.0
1615,32.0,15.0,23.0
1622,33.0,16.0,24.0
1631,30.0,11.0,21.0
1633,36.0,24.0,27.0
1635,34.0,19.0,22.0
1637,34.0,23.0,26.0
1638,34.0,19.0,24.0
1639,35.0,25.0,28.0
1643,34.0,19.0,26.0
1644,34.0,17.0,23.0
1660,33.0,15.0,26.0
1662,34.0,19.0,25.0
1663,29.0,4.0,4.0
1665,32.0,12.0,18.0
1666,18.0,3.0,10.0
1669,32.0,14.0,19.0
1671,30.0,13.0,17.0
1673,35.0,23.0,27.0
1674,36.0,29.0,28.0
1675,32.0,15.0,18.0
1676,36.0,28.0,25.0
1677,36.0,29.0,29.0
1680,31.0,15.0,20.0
1682,31.0,14.0,21.0
1689,21.0,7.0,12.0
1695,26.0,12.0,15.0
1700,35.0,20.0,26.0
1702,36.0,24.0,29.0
1703,33.0,18.0,23.0
1704,34.0,19.0,27.0
1705,34.0,21.0,27.0
1706,31.0,15.0,20.0
1708,34.0,20.0,22.0
1711,35.0,28.0,29.0
1712,34.0,21.0,28.0
1715,33.0,18.0,24.0
1717,34.0,25.0,26.0
1718,35.0,25.0,26.0
1720,34.0,19.0,25.0
1723,36.0,24.0,27.0
1724,33.0,17.0,21.0
1726,34.0,18.0,25.0
1728,34.0,17.0,25.0
1731,35.0,26.0,28.0
1732,36.0,28.0,29.0
1733,34.0,20.0,27.0
1735,35.0,20.0,25.0
1737,34.0,24.0,28.0
1739,34.0,18.0,26.0
1740,34.0,17.0,25.0
1741,35.0,21.0,26.0
1756,33.0,16.0,20.0
1760,26.0,11.0,14.0
1765,29.0,15.0,18.0
1767,32.0,15.0,20.0
1768,33.0,14.0,22.0
1771,35.0,29.0,26.0
1772,35.0,28.0,28.0
1774,34.0,18.0,23.0
1775,35.0,26.0,28.0
1776,33.0,14.0,22.0
1777,35.0,20.0,25.0
1778,35.0,19.0,24.0
1781,34.0,20.0,23.0
1783,27.0,15.0,19.0
1801,35.0,17.0,22.0
1804,32.0,15.0,23.0
1807,33.0,20.0,26.0
1808,36.0,26.0,29.0
1809,35.0,27.0,26.0
1810,36.0,28.0,29.0
1813,31.0,9.0,13.0
1819,33.0,19.0,24.0
1826,32.0,18.0,22.0
1829,31.0,16.0,21.0
1830,35.0,22.0,28.0
1832,10.0,2.0,4.0
1833,33.0,13.0,20.0
1834,31.0,14.0,19.0
1837,36.0,20.0,25.0
1839,34.0,26.0,27.0
1840,36.0,28.0,29.0
1842,34.0,22.0,25.0
1873,36.0,29.0,29.0
1874,36.0,19.0,22.0
1877,13.0,2.0,4.0
1882,29.0,20.0,17.0
1883,29.0,17.0,20.0
1884,34.0,21.0,21.0
1891,24.0,8.0,14.0
1894,29.0,8.0,12.0
1903,32.0,14.0,17.0
1905,29.0,16.0,18.0
1906,33.0,20.0,23.0
1908,33.0,18.0,24.0
1912,25.0,18.0,18.0
1918,23.0,13.0,12.0
1919,35.0,29.0,27.0
1920,36.0,29.0,29.0
1921,36.0,28.0,29.0
1922,34.0,24.0,28.0
1925,24.0,15.0,18.0
1927,32.0,18.0,25.0
1939,27.0,13.0,19.0
1941,34.0,18.0,24.0
1943,21.0,10.0,12.0
1945,36.0,27.0,28.0
1947,35.0,27.0,29.0
1948,35.0,24.0,28.0
1949,35.0,27.0,27.0
1951,35.0,28.0,29.0
1953,36.0,29.0,29.0
1955,36.0,26.0,29.0
1956,36.0,29.0,29.0
1958,31.0,15.0,21.0
1960,30.0,17.0,21.0
1961,34.0,17.0,23.0
1964,33.0,24.0,26.0
1967,35.0,27.0,26.0
1969,35.0,21.0,29.0
1970,27.0,16.0,15.0
1975,34.0,23.0,26.0
1977,36.0,28.0,29.0
1978,36.0,19.0,26.0
1979,30.0,23.0,19.0
1980,35.0,28.0,27.0
1981,36.0,29.0,29.0
1982,36.0,28.0,28.0
1983,35.0,26.0,26.0
1984,36.0,24.0,27.0
1985,36.0,22.0,27.0
1987,36.0,28.0,28.0
1989,36.0,25.0,27.0
1991,29.0,15.0,18.0
1993,36.0,27.0,29.0
1994,36.0,25.0,28.0
1996,34.0,21.0,26.0
1998,34.0,20.0,25.0
2000,36.0,29.0,29.0
2002,35.0,27.0,29.0
2004,36.0,24.0,28.0
2006,33.0,21.0,26.0
2007,27.0,13.0,17.0
2008,31.0,17.0,21.0
2010,36.0,29.0,29.0
2011,36.0,29.0,29.0
2012,36.0,29.0,29.0
2013,36.0,30.0,29.0
