Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
V350082740_L14_49-49_2	V350082740_L14_49-49_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6793724.0	0.0	100.0	38.0	3.6172341575952283	100.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
V350082740_L14_50-50_1	V350082740_L14_50-50_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20364093.0	0.0	100.0	38.0	3.0073146202894323	100.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
V350082740_L14_50-50_2	V350082740_L14_50-50_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20364093.0	0.0	100.0	38.0	2.6232038822248205	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_51-51_1	V350082740_L14_51-51_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10602657.0	0.0	100.0	37.0	2.7107706677063312	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_51-51_2	V350082740_L14_51-51_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10602657.0	0.0	100.0	38.0	3.2156579844096096	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_52-52_1	V350082740_L14_52-52_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10321283.0	0.0	100.0	37.0	2.626787663656848	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_52-52_2	V350082740_L14_52-52_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10321283.0	0.0	100.0	38.0	2.8829322170946945	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_53-53_1	V350082740_L14_53-53_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10688653.0	0.0	100.0	44.0	7.02175391090529	100.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
V350082740_L14_53-53_2	V350082740_L14_53-53_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10688653.0	0.0	100.0	44.0	8.381301676736145	100.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
V350082740_L14_54-54_1	V350082740_L14_54-54_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15822093.0	0.0	100.0	38.0	2.3274961930921463	100.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
