Sample	command
V350082740_L14_63-63_1	fastp -i V350082740_L14_63-63_1.fq.gz -I V350082740_L14_63-63_2.fq.gz -o fastp/V350082740_L14_63-63_clean_PE1.fastq.gz -O fastp/V350082740_L14_63-63_clean_PE2.fastq.gz -h fastp/V350082740_L14_63-63_fastp.html -j fastp/V350082740_L14_63-63_fastp.json 
V350082740_L14_64-64_1	fastp -i V350082740_L14_64-64_1.fq.gz -I V350082740_L14_64-64_2.fq.gz -o fastp/V350082740_L14_64-64_clean_PE1.fastq.gz -O fastp/V350082740_L14_64-64_clean_PE2.fastq.gz -h fastp/V350082740_L14_64-64_fastp.html -j fastp/V350082740_L14_64-64_fastp.json 
V350082740_L14_65-65_1	fastp -i V350082740_L14_65-65_1.fq.gz -I V350082740_L14_65-65_2.fq.gz -o fastp/V350082740_L14_65-65_clean_PE1.fastq.gz -O fastp/V350082740_L14_65-65_clean_PE2.fastq.gz -h fastp/V350082740_L14_65-65_fastp.html -j fastp/V350082740_L14_65-65_fastp.json 
V350082740_L14_66-66_1	fastp -i V350082740_L14_66-66_1.fq.gz -I V350082740_L14_66-66_2.fq.gz -o fastp/V350082740_L14_66-66_clean_PE1.fastq.gz -O fastp/V350082740_L14_66-66_clean_PE2.fastq.gz -h fastp/V350082740_L14_66-66_fastp.html -j fastp/V350082740_L14_66-66_fastp.json 
V350082740_L14_67-67_1	fastp -i V350082740_L14_67-67_1.fq.gz -I V350082740_L14_67-67_2.fq.gz -o fastp/V350082740_L14_67-67_clean_PE1.fastq.gz -O fastp/V350082740_L14_67-67_clean_PE2.fastq.gz -h fastp/V350082740_L14_67-67_fastp.html -j fastp/V350082740_L14_67-67_fastp.json 
V350082740_L14_68-68_1	fastp -i V350082740_L14_68-68_1.fq.gz -I V350082740_L14_68-68_2.fq.gz -o fastp/V350082740_L14_68-68_clean_PE1.fastq.gz -O fastp/V350082740_L14_68-68_clean_PE2.fastq.gz -h fastp/V350082740_L14_68-68_fastp.html -j fastp/V350082740_L14_68-68_fastp.json 
V350082740_L14_69-69_1	fastp -i V350082740_L14_69-69_1.fq.gz -I V350082740_L14_69-69_2.fq.gz -o fastp/V350082740_L14_69-69_clean_PE1.fastq.gz -O fastp/V350082740_L14_69-69_clean_PE2.fastq.gz -h fastp/V350082740_L14_69-69_fastp.html -j fastp/V350082740_L14_69-69_fastp.json 
V350082740_L14_70-70_1	fastp -i V350082740_L14_70-70_1.fq.gz -I V350082740_L14_70-70_2.fq.gz -o fastp/V350082740_L14_70-70_clean_PE1.fastq.gz -O fastp/V350082740_L14_70-70_clean_PE2.fastq.gz -h fastp/V350082740_L14_70-70_fastp.html -j fastp/V350082740_L14_70-70_fastp.json 
V350082740_L14_71-71_1	fastp -i V350082740_L14_71-71_1.fq.gz -I V350082740_L14_71-71_2.fq.gz -o fastp/V350082740_L14_71-71_clean_PE1.fastq.gz -O fastp/V350082740_L14_71-71_clean_PE2.fastq.gz -h fastp/V350082740_L14_71-71_fastp.html -j fastp/V350082740_L14_71-71_fastp.json 
V350082740_L14_72-72_1	fastp -i V350082740_L14_72-72_1.fq.gz -I V350082740_L14_72-72_2.fq.gz -o fastp/V350082740_L14_72-72_clean_PE1.fastq.gz -O fastp/V350082740_L14_72-72_clean_PE2.fastq.gz -h fastp/V350082740_L14_72-72_fastp.html -j fastp/V350082740_L14_72-72_fastp.json 
